formatted_address,latitude,longitude,google_place_id,input_string
Cluster R - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.077191,55.1467247,ChIJbxQdX6hsXz4RlOTb6CyJmW0,"Al Waleed Paradise Al Thanyah Fifth Dubai , UAE"
Dubai Silicon Oasis - Dubai - United Arab Emirates,25.1079177,55.3794408,ChIJ6e88dV1kXz4RrqEVcF_mrLA,"SILICON STAR 1 Nadd Hessa Dubai , UAE"
Fortune Tower - Jumeirah Lakes Towers - Dubai - United Arab Emirates,25.0690597,55.138396,ChIJJyEyJa1sXz4Rd1s6Nhmsbag,"FORTUNE TOWER Al Thanyah Fifth Dubai , UAE"
x3 - Paloma - Dubai Marina - Dubai - United Arab Emirates,25.0752564,55.1344171,Eip4MyAtIFBhbG9tYSAtIER1YmFpIC0gVW5pdGVkIEFyYWIgRW1pcmF0ZXMiHhocChYKFAoSCZnbNrxVE18-EWdOt_a43LBpEgJ4Mw,"Paloma x3 Marsa Dubai Dubai , UAE"
Dubai - Dubai Marina - Dubai - United Arab Emirates,25.0805267,55.1442964,ChIJF-iuQVZrXz4RcAFN9T4B3nw,"TIME PLACE TOWER Marsa Dubai Dubai , UAE"
University View - Dubai Silicon Oasis - Dubai - United Arab Emirates,25.1257252,55.4050302,ChIJefKM54pjXz4R9P5zgzP29oE,"UNIVERSITY VIEW - A Nadd Hessa Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"HDS Tower Al Thanyah Fifth Dubai , UAE"
W3 - Delphine - شارع شاطئ جميرة - Dubai Marina - Dubai - United Arab Emirates,25.0732128,55.132712,EktXMyAtIERlbHBoaW5lIC0g2LTYp9ix2Lkg2LTYp9i32KYg2KzZhdmK2LHYqSAtIER1YmFpIC0gVW5pdGVkIEFyYWIgRW1pcmF0ZXMiHhocChYKFAoSCY8BB9NVE18-EeALvEElyPxPEgJXMw,"Delphine W3 Marsa Dubai Dubai , UAE"
"TECOM, Sheikh Zayed Rd, opposite Media City - Sheikh Zayed Rd - Barsha Heights - Dubai - United Arab Emirates",25.0955206,55.1757328,ChIJCQchgnlrXz4RiWrc1hHGcxw,"CAYAN Business Center Al Thanyah First Dubai , UAE"
E311 - Dubai Production CityCity Centre Meaisem - Dubai - United Arab Emirates,25.0403413,55.1968157,ChIJk79DPbptXz4RGHTZvtyE87s,"THE CRESCENT C Me'Aisem First Dubai , UAE"
Warsan 1 St - Dubai - United Arab Emirates,25.1583539,55.4243304,ChIJr_-uUlxhXz4R_vCltuj9dsU,"Q03 Al Warsan First Dubai , UAE"
Arjan Exit Rd - أرجان دبي لاندجنوب البرشاء - دبي - United Arab Emirates,25.0634037,55.2307723,ChIJ7ULlJ4FuXz4R8pBSOfhwL50,"DIAMOND VIEWS 1 Al Barsha South Fourth Dubai , UAE"
"I.M.P.Z, Al Fay Rd - Dubai Production City - Dubai - United Arab Emirates",25.033204,55.202324,ChIJYbu45b9tXz4RSvW3ux_rKnY,"THE CRESCENT  B Me'Aisem First Dubai , UAE"
Al Thanya St - Umm Al Sheif - Dubai - United Arab Emirates,25.1374928,55.2073731,ChIJGzvCzTRqXz4RjVU9iB7T0Zw,"DUBAI GATE ONE Al Thanyah Fifth Dubai , UAE"
"Jabal Ali First, Discovery Garden 1 - Jebel Ali Village - Dubai - United Arab Emirates",25.0520917,55.1301564,ChIJ78OKVjETXz4Rc7IaTH1jFXg,"MED 105 Jabal Ali First Dubai , UAE"
"I.M.P.Z, Al Fay Rd - Dubai Production City - Dubai - United Arab Emirates",25.033204,55.202324,ChIJYbu45b9tXz4RSvW3ux_rKnY,"THE CRESCENT A Me'Aisem First Dubai , UAE"
Dubai - Jumeirah Lakes TowersJLT Cluster J - Dubai - United Arab Emirates,25.0673324,55.1418131,ChIJb-gEza1sXz4RYMkLefLLZHo,"Bonnington Al Thanyah Fifth Dubai , UAE"
